chirpstack_time,server_time,devName,devEui,humidity,temperature
1662100451000,1662100452076,EM300-1,24e124136c195948,84.5,18.9
1662100503000,1662100504339,EM300-2,24e124136b327793,81.5,19.1
1662100599000,1662100600148,EM300-3,24e124136b327790,79,19
1662100751000,1662100752127,EM300-1,24e124136c195948,85.5,18.7
1662100803000,1662100804385,EM300-2,24e124136b327793,82,19.2
1662100899000,1662100900105,EM300-3,24e124136b327790,80,19.1
1662101053000,1662101054282,EM300-1,24e124136c195948,85.5,18.9
1662101103000,1662101104338,EM300-2,24e124136b327793,81.5,19.1
1662101199000,1662101200145,EM300-3,24e124136b327790,80,19.1
1662101351000,1662101352137,EM300-1,24e124136c195948,85.5,18.8
1662101403000,1662101404382,EM300-2,24e124136b327793,81.5,19
1662101499000,1662101500098,EM300-3,24e124136b327790,80,19.1
1662101651000,1662101652084,EM300-1,24e124136c195948,85.5,18.7
1662101703000,1662101704343,EM300-2,24e124136b327793,80.5,19.1
1662101799000,1662101800084,EM300-3,24e124136b327790,80.5,19.1
1662101951000,1662101952158,EM300-1,24e124136c195948,85.5,18.6
1662102003000,1662102004313,EM300-2,24e124136b327793,80.5,19.1
1662102099000,1662102100115,EM300-3,24e124136b327790,80,19.1
1662102253000,1662102254300,EM300-1,24e124136c195948,86,18.6
1662102303000,1662102304363,EM300-2,24e124136b327793,80,19.1
1662102399000,1662102400066,EM300-3,24e124136b327790,80,19.1
1662102551000,1662102552148,EM300-1,24e124136c195948,86,18.5
1662102603000,1662102604298,EM300-2,24e124136b327793,80,19.2
1662102699000,1662102700106,EM300-3,24e124136b327790,80,19
1662102851000,1662102852084,EM300-1,24e124136c195948,86.5,18.4
1662102903000,1662102904325,EM300-2,24e124136b327793,80,19.1
1662102999000,1662103000130,EM300-3,24e124136b327790,80.5,19.1
1662103151000,1662103152086,EM300-1,24e124136c195948,86.5,18.4
1662103204020,1662103204334,EM300-2,24e124136b327793,79.5,19
1662103451820,1662103452039,EM300-1,24e124136c195948,86.5,18.3
1662103504016,1662103504298,EM300-2,24e124136b327793,80.5,19.1
1662103599804,1662103600107,EM300-3,24e124136b327790,80.5,19.1
1662103751815,1662103752082,EM300-1,24e124136c195948,86.5,18.4
1662103803000,1662103804335,EM300-2,24e124136b327793,80,19.2
1662103899000,1662103900050,EM300-3,24e124136b327790,80.5,19.1
1662104051000,1662104052111,EM300-1,24e124136c195948,86.5,18.5
1662104103000,1662104104276,EM300-2,24e124136b327793,79,19.2
1662104199000,1662104200085,EM300-3,24e124136b327790,80.5,19.1
1662104351000,1662104352065,EM300-1,24e124136c195948,86.5,18.3
1662104403000,1662104404219,EM300-2,24e124136b327793,80,19.2
1662104499000,1662104500031,EM300-3,24e124136b327790,80.5,19.1
1662104651000,1662104652107,EM300-1,24e124136c195948,86.5,18.2
